,round,day,date,time,home,xg_home,score,xg_away,away,attendance,venue,referee,home goals,away goals
681,Regular Season,Sat,2019-10-19,15:30,Düsseldorf,1.3,1 0,0.2,Mainz 05,40660.0,Merkur Spielarena,Felix Zwayer,1,0
682,Regular Season,Sat,2019-10-19,15:30,Werder Bremen,1.0,1 1,0.5,Hertha BSC,41447.0,Weserstadion,Felix Brych,1,1
683,Regular Season,Sat,2019-10-19,15:30,Union Berlin,1.0,2 0,0.5,Freiburg,22012.0,Stadion An der Alten Försterei,Benjamin Cortus,2,0
684,Regular Season,Sat,2019-10-19,15:30,RB Leipzig,1.3,1 1,1.5,Wolfsburg,39182.0,Red Bull Arena,Deniz Aytekin,1,1
685,Regular Season,Sat,2019-10-19,18:30,Dortmund,2.2,1 0,2.5,M'Gladbach,81365.0,Signal Iduna Park,Sascha Stegemann,1,0
686,Regular Season,Sun,2019-10-20,15:30,Köln,2.3,3 0,0.4,Paderborn 07,50000.0,RheinEnergieSTADION,Manuel Gräfe,3,0
687,Regular Season,Sun,2019-10-20,18:00,Hoffenheim,1.1,2 0,1.1,Schalke 04,29477.0,PreZero Arena,Robert Hartmann,2,0
688,Regular Season,Fri,2019-10-25,20:30,Mainz 05,1.5,3 1,1.9,Köln,31999.0,Opel Arena,Frank Willenborg,3,1
689,Regular Season,Sat,2019-10-26,15:30,Hertha BSC,2.2,2 3,2.2,Hoffenheim,44702.0,Olympiastadion Berlin,Markus Schmidt,2,3
690,Regular Season,Sat,2019-10-26,15:30,Bayern Munich,3.3,2 1,1.6,Union Berlin,75000.0,Allianz Arena,Marco Fritz,2,1
691,Regular Season,Sat,2019-10-26,15:30,Freiburg,1.6,2 1,2.1,RB Leipzig,24000.0,Schwarzwald-Stadion,Harm Osmers,2,1
692,Regular Season,Sat,2019-10-26,15:30,Schalke 04,1.1,0 0,0.4,Dortmund,61873.0,Veltins-Arena,Felix Brych,0,0
693,Regular Season,Sat,2019-10-26,15:30,Paderborn 07,0.7,2 0,1.4,Düsseldorf,14182.0,Benteler-Arena,Bastian Dankert,2,0
694,Regular Season,Sat,2019-10-26,18:30,Leverkusen,1.7,2 2,0.9,Werder Bremen,30210.0,BayArena,Martin Petersen,2,2
695,Regular Season,Sun,2019-10-27,15:30,Wolfsburg,0.8,0 0,0.8,Augsburg,22630.0,Volkswagen Arena,Tobias Stieler,0,0
696,Regular Season,Sun,2019-10-27,18:00,M'Gladbach,1.8,4 2,1.0,Eint Frankfurt,52300.0,Stadion im Borussia-Park,Daniel Schlager,4,2
697,Regular Season,Fri,2019-11-01,20:30,Hoffenheim,1.7,3 0,0.4,Paderborn 07,23629.0,PreZero Arena,Robert Schröder,3,0
698,Regular Season,Sat,2019-11-02,15:30,Leverkusen,2.9,1 2,2.2,M'Gladbach,30210.0,BayArena,Daniel Siebert,1,2
699,Regular Season,Sat,2019-11-02,15:30,Werder Bremen,1.8,2 2,1.0,Freiburg,41000.0,Weserstadion,Christian Dingert,2,2
700,Regular Season,Sat,2019-11-02,15:30,RB Leipzig,3.6,8 0,0.8,Mainz 05,38517.0,Red Bull Arena,Guido Winkmann,8,0
701,Regular Season,Sat,2019-11-02,15:30,Eint Frankfurt,2.7,5 1,1.1,Bayern Munich,51500.0,Commerzbank-Arena,Markus Schmidt,5,1
